1<>凜　</b> ◆Wpuzura65A<b><><>2008/04/12(土) 01:36:13<>いわゆる管理スレ。<br>何かあれば適当にどうぞ。<>鶉の羽の下（管理運営・意見・要望など）の7.5<>YL0bGuuo0
159<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:25:32<>このてゐたちめ！<><>Klyn00aU0
160<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 01:07:25<>てすてす<><>s9i3och60
161<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 01:17:14<>てゐてゐ<><>ZzN1E2nc0
162<>種族：名無し 信憑性：高<>sage<>2008/04/13(日) 01:42:38<>ウサウサ<><>/Y/qFuBE0
163<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 02:56:01<>種族：名無し 能力：不明<br>でもいいかなぁ<><>Lw23GwQU0
164<>種族：名無し 多様性：高<><>2008/04/13(日) 03:08:06<>あたいったらテストね！<><>rN2kmDVcO
165<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 03:11:58<><a href="/bbs/read.cgi/game/42679/1207931773/162" target="_blank">&gt;&gt;162</a>の信憑性が全然信じられない<><>ab94kSVw0
166<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 03:12:04<><a href="/bbs/read.cgi/game/42679/1207931773/163" target="_blank">&gt;&gt;163</a><br>それなら<br>種族：人間 能力：名無し<br>のほうがいいかも、若干前板っぽくなってしまうが・・・<><>zKS8.BJE0
167<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 03:39:40<>鶉さんへ<br><br><a href="/bbs/read.cgi/game/42679/1207931773/30" target="_blank">&gt;&gt;30</a>にて<br>雑談スレの過去ログ化はしないとの事ですが、<br>外部にサイトを作ってログを保管してもいいでしょうか？<br><br>あと、ウミガメスレの皆さんとも相談しないといけませんが、ウミガメスレのログも。<><>Cfb9S29U0
168<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 03:42:16<>俺は鶉氏じゃないけど、それって了解とるようなことか？<br><br>この板の運営方針として、ログは削除ってことになってるだけで、残してはいけないってわけじゃないぞ。<br>悪意あるものでない限り、有志が外部で何しようと管理人さんのしったこっちゃないだろｗ<><>YVigV7WA0
169<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 05:08:12<>te<><>hObfSAfM0
170<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 06:37:29<>無符｢無名人」とか<br>シンプルに　無名人　かな<br><br>削除は　幽々子様にいただかれました　スキマ送り　(慧音に)なかった事にされました<br><br>個人的には<a href="/bbs/read.cgi/game/42679/1207931773/88" target="_blank">&gt;&gt;88</a>も好きだな…　っと<><>f5gVgzP60
171<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 07:43:24<>気持ちの問題だろ　勝手に○○〜というよりは<br>一応管理人さんに了解とったほうが、下手に責任感強い変な人を<br>少しは排除できるし、もしそっちでトラブルが起きた時に何でもかんでもと<br>ここの管理人さんに直に行くのもある程度抑えられる。<br>何より礼儀正しいことはいいことです<br><br>幻想郷にも里あるようだし<br>「名も無き里の人」とか<><>0o.NUITg0
172<>種族：名無し 多様性：高<><>2008/04/13(日) 08:13:09<>名無し祈祷中...<><>bqso.Nx20
173<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 08:43:10<>名も無き毛玉…<><>4MUtn6n20
174<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 09:18:43<>弾幕はパワーだよを改変して<br>書き込みは名無しだよ<><>d8FIuwEQ0
175<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 10:09:28<>永遠に名の無き紅い月<br>消極的に名乗らない方法<br>外来の名無し人形<><>a0m3.e62O
176<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 10:09:57<>test<><>s26vGgEM0
177<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 11:20:21<>名前が無い程度の能力が一番しっくりくるな。<><>p1tBdhDE0
178<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 11:44:21<>tes<><>myPR6YL60
179<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 14:01:40<>八百万の神<br>削除されたら「供養されました」<br><br>解り難いか<><>HaE5AewA0
180<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 14:14:36<>外の世界の名無し<br><br>自分で言っといてだがなんか微妙だな<><>v1Fit.Kc0
181<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 14:37:55<>名無しの書き込み妖怪<><>ARDmzj7Q0
182<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 15:04:55<>ビビリな若者たちよ！！ 実名で自分を「見える化」する勇気を！！<><>3c.zqYsE0
183<>鎌田<>sage<>2008/04/13(日) 15:06:40<>本名です＾＾<><>wLrs22nA0
184<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 15:12:36<>「種族：名無し 多様性：高」でいいと思っていたが、<a href="/bbs/read.cgi/game/42679/1207931773/181" target="_blank">&gt;&gt;181</a>を見てときめいてしまった。<><>Srql7F7g0
185<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 15:19:08<><a href="/bbs/read.cgi/game/42679/1207931773/175" target="_blank">&gt;&gt;175</a><br>2番目良いな<><>PqWJMZCA0
186<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 15:43:35<>名無しなのかー<><>Kaa7IX7g0
187<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 16:41:42<>test<><>9pp999SE0
188<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:06:13<>幻想郷への迷い人 or 幻想郷の迷い人<br><br>これなら各キャラ関わりが無くて公平なはず…　たぶん<><>M2Go2YBM0
189<>種族：名無し 多様性：高<><>2008/04/13(日) 17:23:19<>上で出てたth774がシンプルでいいなぁと思った<><>3yYQJyec0
190<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:24:13<>もう<br>名無しさん＠東方板とかでもいい気がしてきた<><>6Tb3th3w0
191<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:40:51<>名前案はおろか名前案の決め方すら決まってない件……。<br>多分、管理者の裁量に一任されて怨みっこなしなんだろうが。<><>ZyUMW8nI0
192<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:42:05<>名無し決めは別スレ立ててやったほうがいいんじゃない？<><>jX9wcm4U0
193<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:43:30<>これだけ案が出たんだし、後は管理者に決めて欲しいな<><>Srql7F7g0
194<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 17:44:17<>別に俺らが決めるもんでもなくね？<br>スレ立ててそこの話し合いの結果で決まるわけでもなし<><>ARDmzj7Q0
195<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 18:20:57<>まぁ実際のところ名前とかあんまり見ないよな。<br><br><a href="/bbs/read.cgi/game/42679/1207931773/183" target="_blank">&gt;&gt;183</a><br>チルノ乙<><>jsn5Pnyo0
196<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 18:27:37<>決めるのは鶉氏の一存だと思うよ<><>sw58WBpE0
197<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 18:53:57<>もしかして半角スペースになったのでもう決まりだったりして<><>phPIf0qo0
198<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 18:54:52<>それならそれで別に良いんだけどな<><>TrtcekJk0
199<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 19:23:51<>多様性のところをランダムに出来れば最高だな、したらばで出来るんかな<><>pRxhxtkQ0
200<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 19:30:42<>半角スペースになったとたん名前欄ブーイングがピタッと止まったもんな<><>NPcIeFiQ0
201<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 19:58:41<>なんかもうね、おまえら自分で掲示板つくってやれよクズ<br>みたいな？<><>4AoMsuck0
202<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:03:16<><a href="/bbs/read.cgi/game/42679/1207931773/201" target="_blank">&gt;&gt;201</a><br><a href="/bbs/read.cgi/game/42679/1207931773/51" target="_blank">&gt;&gt;51</a><><>phPIf0qo0
203<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:16:50<>th774に一票<><>9pDZaj820
204<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:23:03<>携帯から見た場合、あと半角分だけ短くならないかなぁ、と思ったりするです。<><>KgMBOaeEO
205<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:27:25<>次にお前はこれだから携帯厨はと言う<><>phPIf0qo0
206<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:28:02<>これだから携帯厨は・・・はヲっ！？<><>kzIyJn/I0
207<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:34:37<>鶉氏の一存<br>もしくは鶉氏がよさげと思ったものをいくつか選別して<br>投票制みたいな感じはどうだ<><>4L1WDmps0
208<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:34:46<>これだけの案が出たんですから、あとは鶉氏の独断と偏見にお任せですね。<br><br>……あかん、そう考えるだけで変な期待をしてまうｗ<><>ab94kSVw0
209<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 20:54:47<>１３２人目の素数さん<br>とか<><>LxO4tQC20
210<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 21:35:14<>2chの数学板と被るじゃん<><>xU6sHRPU0
211<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 21:38:52<>幻想郷の名無しさん<><>pE1EzvHQ0
212<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 21:40:01<>それでも鶉なら・・・<br>鶉ならきっとここに出てない名前に決定してくれる<><>o72x.9N20
213<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 21:47:27<>西行寺無名涅槃<><>CQordO020
214<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 21:49:26<>種族＠名無し<><>sFRjP58I0
215<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 23:57:49<>棘符「東方界隈のイタイ人物で燃えるｽﾚ」薔薇五十五輪<br>http://jbbs.livedoor.jp/bbs/read.cgi/game/42679/1207934296/l50<br>いつまでもＴＯＰにあると良くないので<br>強制sageをお願いします<><>TyY8XAgk0
216<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 00:32:24<>そういやなんで棘って元のスレ使い切らないままここと２ｃｈに乱立されてるんだ？<><>WO.7Axfo0
217<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 00:35:40<>別に使い切るまでこっちに立てちゃいけないわけでもない<br><br>棘立てたのは早漏さんだが<><>C0INZ4/I0
218<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 02:27:35<>八百万の名無し<><>uLvry6HU0
219<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 02:45:57<>名無書込中...<><>U/iWm1XE0
220<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 02:58:03<>東の国の眠らない名無し<><>U/iWm1XE0
221<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 03:39:27<>まだ決まってないみたいなので<br><br>つ[名前が決められない程度の能力]<br><br>マジレスすると<a href="/bbs/read.cgi/game/42679/1207931773/77" target="_blank">&gt;&gt;77</a>が好き<><>fKtBuIZ.0
222<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 03:44:41<><a href="/bbs/read.cgi/game/42679/1207931773/220" target="_blank">&gt;&gt;220</a><br>そのフレーズなら<br>東の国の名のらない名無し<br>でもいいかなぁ<><>Ohsfun660
223<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 08:57:24<>Graze 774<br>77.40fps<><>9yapS/360
224<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 09:13:55<>信仰は儚き名無しの為に<><>0O7ULVkw0
225<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 09:25:31<>東方無記名<br>名符「名無し -Nameless-」<><>a49Lr47k0
226<>種族：名無し 多様性：高<>sage<>2008/04/14(月) 10:20:34<>tes<><>kdvHrInY0
